"Mode_Damage_Grade";"Number_Buildings";"Mode_Technical_Solutuion";"ward_id";"Percentage_Injury_Loss";"Percentage_Staying";"Number_Deaths";"Number Schools ";"Number Health Post";"has_internet_post";"has_internet_pre";"has_water_pre";"has_water_post";"has_electricity_pre";"has_electricity_post";"Population";"average_income";"Percentage_Education_Level";"Percentage_Bankaccount"
"Grade 5";359;"Reconstruction";280101;0.0;0.804093567251462;4;0;0;0.0029239766081871343;0.0;0.9532163742690059;0.9532163742690059;0.9502923976608187;0.9502923976608187;1774;17704.6783625731;0.2222222222222222;0.11695906432748537
"Grade 5";1157;"Reconstruction";280304;0.00827966881324747;0.9015639374425023;63;0;0;0.09935602575896964;0.10211591536338546;0.9981600735970562;0.9908003679852806;0.9963201471941122;0.9862005519779209;6296;12166.51333946642;0.23367065317387303;0.029438822447102116
"Grade 5";846;"Reconstruction";280905;0.019630484988452657;0.8568129330254042;34;0;0;0.0;0.0;0.7575057736720554;0.7494226327944573;0.9203233256351039;0.9087759815242494;4290;11887.990762124711;0.33140877598152424;0.1789838337182448
"Grade 5";1061;"Reconstruction";280501;0.02930056710775047;0.6209829867674859;41;0;0;0.0;0.0;;;0.9603024574669187;0.9395085066162571;5119;13799.62192816635;0.22306238185255198;0.08506616257088846
"Grade 5";844;"Reconstruction";280201;0.0038560411311053984;0.31233933161953725;25;0;0;0.055269922879177376;0.060411311053984576;0.9922879177377892;0.9897172236503856;0.9987146529562982;0.9884318766066839;3279;14678.66323907455;0.6413881748071979;0.20822622107969152
"Grade 4";1236;"Reconstruction";280202;0.010476190476190476;0.45714285714285713;22;1;6;0.06761904761904762;0.07047619047619047;0.979047619047619;0.98;0.9895238095238095;0.9847619047619047;4726;17523.809523809523;0.4961904761904762;0.3238095238095238
"Grade 1";1013;"Minor repair";280204;0.007337526205450734;0.11740041928721175;33;3;2;0.1289308176100629;0.13626834381551362;0.9067085953878407;0.9077568134171907;0.9853249475890985;0.9821802935010482;4501;19465.408805031446;0.6205450733752621;0.5115303983228512
"Grade 5";1340;"Reconstruction";280205;0.006971340046475601;0.5902401239349342;15;1;0;0.03563129357087529;0.03408210689388071;0.7947327652982185;0.7846630518977536;0.9883810999225406;0.9891556932610379;5664;15952.749806351665;0.5089078233927188;0.2370255615801704
"Grade 4";877;"Reconstruction";280206;0.0043859649122807015;0.6030701754385965;14;0;0;0.0;0.0;0.9824561403508771;0.9824561403508771;0.9846491228070176;0.9758771929824561;4093;14248.90350877193;0.4725877192982456;0.18201754385964913
"Grade 5";1078;"Reconstruction";280208;0.009737098344693282;0.6543330087633885;47;0;0;0.010710808179162609;0.009737098344693282;0.9542356377799416;0.943524829600779;0.9873417721518988;0.9873417721518988;5188;18573.515092502435;0.4089581304771178;0.29503407984420643
"Grade 5";1363;"Reconstruction";280209;0.0056022408963585435;0.5826330532212886;48;2;0;0.03221288515406162;0.036414565826330535;0.9985994397759104;0.9936974789915967;0.9985994397759104;0.9978991596638656;6091;16838.235294117647;0.5084033613445378;0.211484593837535
"Grade 4";855;"Reconstruction";281304;0.01384083044982699;0.71280276816609;25;0;0;0.00922722029988466;0.008073817762399077;0.9907727797001153;0.9884659746251442;0.972318339100346;0.9573241061130334;4669;15415.224913494809;0.405997693194925;0.2179930795847751
"Grade 4";893;"Reconstruction";281301;0.011454753722794959;0.7617411225658648;29;0;0;0.5647193585337915;0.5647193585337915;0.47193585337915234;0.47193585337915234;0.9633447880870561;0.9610538373424972;5246;12445.589919816724;0.26689576174112256;0.14776632302405499
"Grade 5";813;"Reconstruction";280802;0.017391304347826087;0.8695652173913043;27;0;0;0.006211180124223602;0.006211180124223602;0.7105590062111802;0.7093167701863354;0.9614906832298137;0.9552795031055901;3711;16341.614906832297;0.3527950310559006;0.12546583850931678
"Grade 4";1073;"Reconstruction";280212;0.004887585532746823;0.8025415444770283;7;0;0;9.775171065493646E-4;9.775171065493646E-4;0.9990224828934506;;0.9960899315738025;0.9970674486803519;4825;11867.057673509287;0.3587487781036168;0.1544477028347996
"Grade 4";840;"Reconstruction";280407;0.01566265060240964;0.808433734939759;27;0;0;0.09156626506024096;0.0927710843373494;0.9481927710843373;0.9493975903614458;0.9963855421686747;0.9975903614457832;4445;14216.867469879518;0.4807228915662651;0.1566265060240964
"Grade 4";892;"Reconstruction";280704;0.013013013013013013;0.6886886886886887;21;1;0;0.002002002002002002;0.001001001001001001;0.996996996996997;0.92992992992993;0.991991991991992;0.98998998998999;4295;11936.936936936936;0.4344344344344344;0.13913913913913914
